0,1978309954,a positive theory of social security based on reputation,1999,1999-02-01,,95323914.0,Journal of Political Economy,2016-06-24,2399572050.0,,2.0,Jorge Soares,,16602.0,jorge soares,Jorge Soares,86501945.0,35.0,26.0,2016-06-24,Portuguese,0.9606009070294784
0,1978309954,a positive theory of social security based on reputation,1999,1999-02-01,,95323914.0,Journal of Political Economy,2016-06-24,2474937050.0,,1.0,Thomas F. Cooley,,13925.0,thomas f cooley,Thomas F. Cooley,57206974.0,175.0,120.0,2016-07-22,Irish,0.32332913809502384
2,2063773487,aggregate demand management in search equilibrium,1982,1982-10-01,,95323914.0,Journal of Political Economy,2016-06-24,2114523211.0,,1.0,Peter A. Diamond,,12692.0,peter a diamond,Peter A. Diamond,63966007.0,289.0,208.0,2016-06-24,Jewish,1.0
5,2157125979,peer pressure and partnerships,1992,1992-08-01,,95323914.0,Journal of Political Economy,2016-06-24,616670817.0,,2.0,Edward P. Lazear,,12859.0,edward p lazear,Edward P. Lazear,97018004.0,261.0,141.0,2016-06-24,Austrian,0.19912400824731424
5,2157125979,peer pressure and partnerships,1992,1992-08-01,,95323914.0,Journal of Political Economy,2016-06-24,1976568276.0,,1.0,Eugene Kandel,,14598.0,eugene kandel,Eugene Kandel,197251160.0,77.0,50.0,2016-06-24,Jewish,0.5418343833636836
6,1995953073,what do we really know about wages the importance of nonreporting and census imputation,1986,1986-06-01,,95323914.0,Journal of Political Economy,2016-06-24,2160592704.0,,3.0,Finis Welch,,13464.0,finis welch,Finis Welch,91045830.0,113.0,97.0,2016-06-24,British,0.4207513738101161
6,1995953073,what do we really know about wages the importance of nonreporting and census imputation,1986,1986-06-01,,95323914.0,Journal of Political Economy,2016-06-24,2579805337.0,,1.0,Lee Lillard,,14002.0,lee a lillard,Lee A. Lillard,1309849503.0,120.0,91.0,2017-01-26,French,0.20602676543800427
6,1995953073,what do we really know about wages the importance of nonreporting and census imputation,1986,1986-06-01,,95323914.0,Journal of Political Economy,2016-06-24,2598019244.0,,2.0,James P. Smith,,13023.0,j c smith,James C. Smith,2801081054.0,485.0,464.0,2017-04-07,British,0.24738140360477645
7,2565225599,the political economy of weak treaties,2020,2020-01-16,2016-12-01,95323914.0,Journal of Political Economy,2017-01-06,2119038958.0,,1.0,Marco Battaglini,,14970.0,marco battaglini,Marco Battaglini,205783295.0,143.0,70.0,2016-06-24,Italian,0.9606009070294784
7,2565225599,the political economy of weak treaties,2020,2020-01-16,2016-12-01,95323914.0,Journal of Political Economy,2017-01-06,2166406133.0,,2.0,Bård Harstad,,16234.0,bard harstad,Bård Harstad,184942183.0,75.0,43.0,2016-06-24,Norwegian,0.9606009070294784
8,3124142480,employed 40 hours or not employed 39 lessons from the 1982 mandatory reduction of the workweek,2002,2002-12-01,,95323914.0,Journal of Political Economy,2021-02-01,159280313.0,,1.0,Bruno Crépon,,14612.0,bruno crepon,Bruno Crépon,84009706.0,182.0,129.0,2016-06-24,French,0.7149434284127935
8,3124142480,employed 40 hours or not employed 39 lessons from the 1982 mandatory reduction of the workweek,2002,2002-12-01,,95323914.0,Journal of Political Economy,2021-02-01,290542363.0,197518295.0,2.0,Francis Kramarz,IZA-Institute of Labor Economics,13896.0,francis kramarz,Francis Kramarz,84009706.0,249.0,173.0,2016-06-24,Polish,0.7286386090587821
11,3125717435,the role of leasing under adverse selection,2002,2002-02-01,2016-03-19,95323914.0,Journal of Political Economy,2021-02-01,40539028.0,1321305853.0,2.0,Alessandro Lizzeri,National Bureau of Economic Research,15176.0,alessandro lizzeri,Alessandro Lizzeri,57206974.0,72.0,44.0,2016-06-24,Italian,0.9606009070294784
11,3125717435,the role of leasing under adverse selection,2002,2002-02-01,2016-03-19,95323914.0,Journal of Political Economy,2021-02-01,2089095713.0,1321305853.0,1.0,Igal Hendel,National Bureau of Economic Research,15153.0,igal hendel,Igal Hendel,111979921.0,73.0,45.0,2016-06-24,Jewish,0.705019361623755
12,3211395315,cause and effect in political polarization a dynamic analysis,2021,2021-11-15,2021-11-15,95323914.0,Journal of Political Economy,2021-11-22,2125915602.0,,2.0,Juan Carlos Carbajal,,17989.0,juan carlos carbajal,Juan Carlos Carbajal,31746571.0,17.0,11.0,2016-06-24,Hispanic,0.9366266227652779
12,3211395315,cause and effect in political polarization a dynamic analysis,2021,2021-11-15,2021-11-15,95323914.0,Journal of Political Economy,2021-11-22,2170882167.0,,1.0,Steven Callander,,16442.0,steven callander,Steven Callander,97018004.0,39.0,31.0,2016-06-24,British,0.5395535326705208
13,2511241608,the federal debt 1919 1930 a chapter in american public finance henry george handricks,1935,1935-04-01,,95323914.0,Journal of Political Economy,2016-09-16,2509649556.0,,1.0,H. L. Lutz,,21226.0,h l lutz,H. L. Lutz,,1.0,1.0,2016-09-16,Jewish,1.0
14,2517122364,concentration and control charles r van hise,1914,1914-04-01,,95323914.0,Journal of Political Economy,2016-09-16,2689703998.0,,1.0,Allyn A. Young,,19235.0,allyn a young,Allyn A. Young,,5.0,5.0,2017-06-30,British,0.3296093449125576
16,2516473726,social research on health otis durant duncan,1947,1947-12-01,,95323914.0,Journal of Political Economy,2016-09-16,2640177169.0,,1.0,C. Horace Hamilton,,21226.0,c horace hamilton,C. Horace Hamilton,,1.0,1.0,2017-06-30,British,0.6610586547933637
17,3107566885,securing property rights,2021,2021-02-24,2016-09-01,95323914.0,Journal of Political Economy,2020-12-07,130401764.0,,3.0,Giacomo A. M. Ponzetto,,15883.0,giacomo a m ponzetto,Giacomo A. M. Ponzetto,170486558.0,76.0,41.0,2016-06-24,Italian,0.9606009070294784
17,3107566885,securing property rights,2021,2021-02-24,2016-09-01,95323914.0,Journal of Political Economy,2020-12-07,622018538.0,,2.0,Edward L. Glaeser,,12068.0,edward l glaeser,Edward L. Glaeser,136199984.0,655.0,355.0,2016-06-24,German,0.6130800727452071
17,3107566885,securing property rights,2021,2021-02-24,2016-09-01,95323914.0,Journal of Political Economy,2020-12-07,727612727.0,,4.0,Andrei Shleifer,,10970.0,andrei shleifer,Andrei Shleifer,136199984.0,589.0,344.0,2016-06-24,Jewish,0.6669648101070932
17,3107566885,securing property rights,2021,2021-02-24,2016-09-01,95323914.0,Journal of Political Economy,2020-12-07,2586485421.0,,1.0,A. Patrick Behrer,,18958.0,a patrick behrer,A. Patrick Behrer,97018004.0,8.0,7.0,2017-02-17,German,0.6353151414814342
18,2076310383,the entrepreneur function in economic literature,1927,1927-08-01,,95323914.0,Journal of Political Economy,2016-06-24,2240464798.0,,1.0,Charles A. Tuttle,,19926.0,charles a tuttle,Charles A. Tuttle,,1.0,1.0,2016-06-24,Irish,0.4011478766483874
19,2514432684,saudi arabia k s twitchell,1954,1954-08-01,,95323914.0,Journal of Political Economy,2016-09-16,2313088477.0,,1.0,Hedley V. Cooke,,20533.0,hedley v cooke,Hedley V. Cooke,,2.0,2.0,2016-06-24,British,0.47939184505081006
21,2094156342,possibilities of a general survey course in finance,1921,1921-05-01,,95323914.0,Journal of Political Economy,2016-06-24,2114491959.0,,1.0,Harold G. Moulton,,19840.0,harold g moulton,Harold G. Moulton,,4.0,4.0,2016-06-24,British,0.7491279671106919
22,2031709247,the compensatory theory of public works expenditure,1945,1945-09-01,,95323914.0,Journal of Political Economy,2016-06-24,2244801203.0,,1.0,Clay J. Anderson,,20189.0,clay j anderson,Clay J. Anderson,,2.0,2.0,2016-06-24,Scottish,0.22436520194343426
23,2039977446,the early development of the note brokerage business in chicago,1938,1938-04-01,,95323914.0,Journal of Political Economy,2016-06-24,2696834250.0,,1.0,Don M. Dailey,,20550.0,don m dailey,Don M. Dailey,,1.0,1.0,2017-06-30,British,0.7115820838247939
25,1969927111,profit on national bank notes 1900 1913,1965,1965-10-01,,95323914.0,Journal of Political Economy,2016-06-24,2070172949.0,,1.0,C. A. E. Goodhart,,13371.0,charles goodhart,Charles Goodhart,909854389.0,602.0,485.0,2016-06-24,British,0.653626573990436
27,2510227776,german monetary theory 1905 1933 howard s ellis,1935,1935-06-01,,95323914.0,Journal of Political Economy,2016-09-16,296390977.0,,1.0,Fritz Machlup,,13956.0,fritz machlup,Fritz Machlup,57206974.0,197.0,190.0,2016-06-24,Swiss,0.4031665773828745
31,2509694829,judging human character h l hollingworth,1923,1923-08-01,,95323914.0,Journal of Political Economy,2016-09-16,1891934597.0,,1.0,Arthur W. Kornhauser,,19068.0,arthur w kornhauser,Arthur W. Kornhauser,,8.0,8.0,2016-06-24,Jewish,1.0
32,2516226317,our national debt its history and its meaning today committee on public debt policy,1949,1949-12-01,,95323914.0,Journal of Political Economy,2016-09-16,1974961038.0,,1.0,Frank W. Fetter,,16171.0,frank whitson fetter,Frank Whitson Fetter,111979921.0,77.0,77.0,2016-06-24,Hungarian,1.0
33,2517411526,guide to the unemployment insurance acts h c emmerson e c p lascelles,1927,1927-04-01,,95323914.0,Journal of Political Economy,2016-09-16,2680220674.0,,1.0,N. A. Tolles,,21226.0,n a tolles,N. A. Tolles,,1.0,1.0,2017-06-30,German,0.22688047978333137
34,2517374412,the illinois segment of the nation s economy for 1935 a bookkeeping picture frank g dickinson franzy eakin,1942,1942-04-01,,95323914.0,Journal of Political Economy,2016-09-16,2320946514.0,,1.0,Ernest H. Hahne,,19617.0,ernest h hahne,Ernest H. Hahne,,5.0,5.0,2016-06-24,German,0.8789933283761143
35,2518157201,agriculture and the civil war paul w gates,1966,1966-12-01,,95323914.0,Journal of Political Economy,2016-09-16,2197047732.0,,1.0,George L. Anderson,,21226.0,george l anderson,George L. Anderson,,1.0,1.0,2016-06-24,Scottish,0.41065319118385996
37,2509635901,preliminary report on the world social situation with special reference to standards of living,1954,1954-04-01,,95323914.0,Journal of Political Economy,2016-09-16,2649850858.0,,1.0,Wilbert E. Moore,,20533.0,wilbert e moore,Wilbert E. Moore,,2.0,2.0,2017-06-30,AfricanAmerican,0.2938736843778019
38,2090564500,some institutional aspects of the wealth of nations,1960,1960-12-01,,95323914.0,Journal of Political Economy,2016-06-24,2125563408.0,,1.0,Nathan Rosenberg,,12794.0,nathan rosenberg,Nathan Rosenberg,78715868.0,256.0,224.0,2016-06-24,Jewish,0.436827229682692
40,1985337978,the causes of and antidote for industrial unrest,1920,1920-03-01,,95323914.0,Journal of Political Economy,2016-06-24,2640694686.0,,1.0,Horace B. Drury,,20003.0,horace b drury,Horace B. Drury,,2.0,2.0,2017-06-30,British,0.47763299302216594
