Unnamed: 0,PaperId,PaperTitle,Year,Date,OnlineDate,JournalId,OriginalVenue,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,CreateDate
0,1978728962,liberalized trade and worker firm matching,2012,2012-05-01,2016-04-01,23254222,The American Economic Review,2016-06-24,311838528.0,,3.0,Steven Matusz,MI State U,15589.0,steven j matusz,Steven J. Matusz,87216513.0,83.0,65.0,2016-06-24
0,1978728962,liberalized trade and worker firm matching,2012,2012-05-01,2016-04-01,23254222,The American Economic Review,2016-06-24,2101014960.0,,1.0,Carl Davidson,MI State U,14760.0,carl davidson,Carl Davidson,87216513.0,142.0,105.0,2016-06-24
0,1978728962,liberalized trade and worker firm matching,2012,2012-05-01,2016-04-01,23254222,The American Economic Review,2016-06-24,2166780271.0,,2.0,Fredrik Heyman,"IFN, Stockholm",16060.0,fredrik heyman,Fredrik Heyman,77432436.0,87.0,52.0,2016-06-24
0,1978728962,liberalized trade and worker firm matching,2012,2012-05-01,2016-04-01,23254222,The American Economic Review,2016-06-24,2254068865.0,,5.0,Susan Chun Zhu,MI State U,16209.0,susan chun zhu,Susan Chun Zhu,87216513.0,42.0,26.0,2016-06-24
0,1978728962,liberalized trade and worker firm matching,2012,2012-05-01,2016-04-01,23254222,The American Economic Review,2016-06-24,2734478171.0,,4.0,Fredrik Sjöholm,"Lund U and IFN, Stockholm",14830.0,fredrik sjoholm,Fredrik Sjöholm,187531555.0,172.0,123.0,2017-07-21
1,2043787485,maps of bounded rationality psychology for behavioral economics,2003,2003-11-01,,23254222,The American Economic Review,2016-06-24,317508920.0,20089843.0,1.0,Daniel Kahneman,Princeton University,10864.0,daniel kahneman,Daniel Kahneman,20089843.0,308.0,291.0,2016-06-24
2,2581969004,secular stagnation the effect of aging on economic growth in the age of automation,2017,2017-01-19,,23254222,The American Economic Review,2017-02-03,1970476475.0,63966007.0,1.0,Daron Acemoglu,-MIT,11852.0,daron acemoglu,Daron Acemoglu,63966007.0,925.0,514.0,2016-06-24
2,2581969004,secular stagnation the effect of aging on economic growth in the age of automation,2017,2017-01-19,,23254222,The American Economic Review,2017-02-03,2561381312.0,32971472.0,2.0,Pascual Restrepo,Yale U.;,15696.0,pascual restrepo,Pascual Restrepo,111088046.0,81.0,38.0,2017-01-06
3,2602154428,mortgage debt consumption and illiquid housing markets in the great recession,2017,2017-10-01,2017-01-01,23254222,The American Economic Review,2017-04-07,1904513989.0,77793887.0,1.0,Carlos Garriga,Federal Reserve Bank of St. Louis,,,,,,,
3,2602154428,mortgage debt consumption and illiquid housing markets in the great recession,2017,2017-10-01,2017-01-01,23254222,The American Economic Review,2017-04-07,2098458578.0,77793887.0,2.0,Aaron Hedlund,U of Missouri and Federal Reserve Bank of St Louis,17299.0,aaron hedlund,Aaron Hedlund,76835614.0,41.0,22.0,2016-06-24
4,3125862262,cultural and institutional bifurcation china and europe compared,2010,2010-05-01,,23254222,The American Economic Review,2021-02-01,2033879852.0,,2.0,Guido Tabellini,U L. Bocconi,12731.0,guido tabellini,Guido Tabellini,71209653.0,316.0,194.0,2016-06-24
4,3125862262,cultural and institutional bifurcation china and europe compared,2010,2010-05-01,,23254222,The American Economic Review,2021-02-01,2165915637.0,97018004.0,1.0,Avner Greif,"Stanford, U",14108.0,avner greif,Avner Greif,97018004.0,114.0,90.0,2016-06-24
5,1567432773,generations and the distribution of economic well being a cross national view,1998,1998-01-01,,23254222,The American Economic Review,2016-06-24,2169086927.0,,2.0,Dennis H Sullivan,,16741.0,dennis h sullivan,Dennis H. Sullivan,83328450.0,21.0,18.0,2016-06-24
5,1567432773,generations and the distribution of economic well being a cross national view,1998,1998-01-01,,23254222,The American Economic Review,2016-06-24,2551314783.0,,1.0,Timothy M Smeeding,,13633.0,timothy m smeeding,Timothy M. Smeeding,135310074.0,380.0,321.0,2016-11-30
6,1536389629,regulation and the high cost of housing in california,2005,2005-05-01,2006-04-24,23254222,The American Economic Review,2016-06-24,2004816304.0,95457486.0,2.0,Steven Raphael,University of California–Berkeley.,14953.0,steven raphael,Steven Raphael,95457486.0,115.0,77.0,2016-06-24
6,1536389629,regulation and the high cost of housing in california,2005,2005-05-01,2006-04-24,23254222,The American Economic Review,2016-06-24,2109093675.0,95457486.0,1.0,John M. Quigley,University of California–Berkeley.,13541.0,john m quigley,John M. Quigley,95457486.0,391.0,266.0,2016-06-24
